name,family,code
"Beta macrocarpa","Amaranthaceae","BEMA"
"Chamaemelum fuscatum","Asteraceae","CHFU"
"Chamaemelum mixtum","Asteraceae","CHMI"
"Centaurium tenuiflorum","Gentianaceae","CETE"
"Frankenia pulverulenta","Frankeniaceae","FRPU"
"Hordeum marinum","Poaceae","HOMA"
"Leontodon maroccanus","Asteraceae","LEMA"
"Melilotus elengans","Fabaceae","MEEL"
"Melilotus sulcatus","Fabaceae","MESU"
"Plantago coronopus","Plantaginaceae","PLCO"
"Polypogon monspeliensis","Poaceae","POMO"
"Pulicaria paludosa","Asteraceae","PUPA"
"Scorzonera laciniata","Asteraceae","SCLA"
"Spergularia rubra","Caryophyllaceae","SPRU"
"Sonchus asper","Asteraceae","SOAS"
"Suaeda splendens","Amaranthaceae","SUSP"
